2010-11 (UDC) O-Pee-Chee Retro,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Season:,,,2010-11,,,,,,,,,,,,,
Manufacturer:,,,UDC (Upper Deck),,,,,,,,,,,,,
Set:,,,O-Pee-Chee,,,,,,,,,,,,,
Insert Set:,,,Retro,,,,,,,,,,,,,
Size:,,,600,,,,,,,,,,,,,
Rarity:,,,"1 per hobby pack, 1:2 retail packs",,,,,,,,,,,,,
Grading Modifier:,,,,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ID,#,Name / Description,RC?,Team,Position,LOW,HIGH,SELL,Condition,Subset,Rarity,Grading,Cost,Status,Sold,Comments
0003874,1,Corey Perry,,Ducks,RW,$1.00,$2.50,$2.75,,,,,$0.52,Available,,
0003875,11,Tyler Ennis,,Sabres,C,$2.00,$5.00,$5.00,NRMT-MT+,,,,$1.03,Available,,
0003876,17,Fernando Pisani,,Blackhawks,RW,$0.75,$2.00,$2.00,,,,,$0.42,Available,,
0003877,26,Luca Caputi,,Maple Leafs,LW,$0.75,$2.00,$2.25,,,,,$0.42,Available,,
0003878,33,Fedor Tyutin,,Blue Jackets,D,$0.75,$2.00,$2.00,,,,,$0.42,Available,,
0003879,38,Francois Beauchemin,,Maple Leafs,D,$0.75,$2.00,$2.00,,,,,$0.42,Available,,
0003880,47,Pavel Datsyuk,,Red Wings,C,$1.25,$3.00,$3.00,NRMT-MT+,,,,$0.63,Available,,
0003881,81,Michal Handzus,,Kings,C,$0.75,$2.00,$2.00,,,,,$0.42,Available,,
0003646,93,Ivan Vishnevskiy,,Blackhawks,D,$0.75,$2.00,$2.00,,,,,$0.47,Available,,
0003882,106,Tom Wandell,,Stars,C,$0.75,$2.00,$2.25,,,,,$0.42,Available,,
0003883,111,Jonathan Bernier,,Kings,G,$1.00,$2.50,$2.75,NRMT-MT+,,,,$0.52,Available,,
0003647,130,Patrick O'Sullivan,,Coyotes,C,$0.75,$2.00,$2.00,,,,,$0.47,Available,,
0003648,137,Eric Nystrom,,Wild,LW,$0.75,$2.00,$2.00,,,,,$0.47,Available,,
0003649,141,Zbynek Michalek,,Penguins,D,$0.75,$2.00,$2.00,,,,,$0.47,Available,,
0003884,168,Tom Pyatt,,Canadiens,C,$0.75,$2.00,$2.00,,,,,$0.42,Traded – Trade #8,,
0003650,206,Dan Ellis,,Lightning,G,$1.00,$2.50,$2.50,NRMT-MT+,,,,$0.47,Available,,
0003885,217,Patrick Dwyer,,Hurricanes,RW,$0.75,$2.00,$2.00,,,,,$0.42,Available,,
0003886,226,Vaclav Prospal,,Rangers,LW,$0.75,$2.00,$2.25,,,,,$0.42,Available,,
0003887,246,Daymond Langkow,,Flames,C,$0.75,$2.00,$2.25,,,,,$0.42,Available,,
0003888,248,Cody Franson,,Predators,D,$0.75,$2.00,$2.00,,,,,$0.42,Available,,
0003889,283,Kristian Huselius,,Blue Jackets,LW,$0.75,$2.00,$2.25,,,,,$0.42,Available,,
0003890,315,Chris Drury,,Rangers,C,$1.00,$2.50,$2.50,,,,,$0.52,Available,,
0003891,324,Matt Cullen,,Wild,C,$0.75,$2.00,$2.00,,,,,$0.42,Available,,
0003892,333,Andrew Ladd,,Thrashers,LW,$0.75,$2.00,$2.00,,,,,$0.42,Available,,
0003893,345,Dan Sexton,,Ducks,RW,$0.75,$2.00,$2.00,,,,,$0.42,Available,,
